"party","partyVote","electorateSeats","listSeats"
"Labour",800199,41,8
"National",629932,22,17
"Alliance",159859,1,9
"ACT",145493,0,9
"Green",106560,1,6
"NZ First",87926,1,4
"United",11065,1,0
"Christian Heritage New Zealand",49154,0,0
"Future New Zealand",23033,0,0
"Legalise Cannabis",22687,0,0
"Libertarianz",5949,0,0
"Mana Māori",5190,0,0
"Mauri Pacific",4008,0,0
"Animals First",3244,0,0
"McGillicuddy Serious Party",3191,0,0
"South Island Party",2912,0,0
"Natural Law",1712,0,0
"One New Zealand",1311,0,0
"NMP",936,0,0
"Freedom Movement",454,0,0
"People's Choice",387,0,0
"Republican Party",292,0,0